id,Provinsi,Tahun,Luas Areal (Ha),Hasil Panen (Kg),Produktivitas (Kg/Ha)
1,Aceh,2014,21701,11444681,527
2,Aceh,2015,22476,12316848,548
3,Aceh,2016,25414,14331092,564
4,Aceh,2017,25528,15126704,593
5,Aceh,2018,25091,14853643,592
6,Aceh,2019,25419,15023244,591
7,Aceh,2020,25203,14928014,592
8,Aceh,2021,25203,14928014,592
9,Sumatera Utara,2014,3063,895534,292
10,Sumatera Utara,2015,3172,1021384,322
11,Sumatera Utara,2016,3329,1139002,342
12,Sumatera Utara,2017,3306,1477441,447
13,Sumatera Utara,2018,3347,1507860,450
14,Sumatera Utara,2019,3409,1683779,494
15,Sumatera Utara,2020,3449,1696028,492
16,Sumatera Utara,2021,3449,1714496,497
17,Sumatera Barat,2014,8049,2679540,333
18,Sumatera Barat,2015,8189,2694181,329
19,Sumatera Barat,2016,8486,2160687,255
20,Sumatera Barat,2017,8879,1825690,206
21,Sumatera Barat,2018,9512,4533246,477
22,Sumatera Barat,2019,9363,4437114,474
23,Sumatera Barat,2020,9333,4424816,474
24,Sumatera Barat,2021,9263,4391645,474
25,Riau,2014,0,0,0
26,Riau,2015,0,0,0
27,Riau,2016,0,0,0
28,Riau,2017,0,0,0
29,Riau,2018,0,0,0
30,Riau,2019,0,0,0
31,Riau,2020,0,0,0
32,Riau,2021,0,0,0
33,Kepulauan Riau,2014,15459,4845515,313
34,Kepulauan Riau,2015,15432,3703680,240
35,Kepulauan Riau,2016,15377,3673983,239
36,Kepulauan Riau,2017,15412,6313842,410
37,Kepulauan Riau,2018,15181,4734725,312
38,Kepulauan Riau,2019,16040,4850647,302
39,Kepulauan Riau,2020,16045,4852865,302
40,Kepulauan Riau,2021,16046,4853580,302
41,Jambi,2014,163,67373,413
42,Jambi,2015,165,68310,414
43,Jambi,2016,165,68357,414
44,Jambi,2017,174,72086,414
45,Jambi,2018,197,81614,414
46,Jambi,2019,205,84412,412
47,Jambi,2020,206,84788,412
48,Jambi,2021,206,86580,420
49,Sumatera Selatan,2014,252,96606,383
50,Sumatera Selatan,2015,287,106764,372
51,Sumatera Selatan,2016,291,101201,348
52,Sumatera Selatan,2017,310,107120,346
53,Sumatera Selatan,2018,310,114190,368
54,Sumatera Selatan,2019,291,107319,369
55,Sumatera Selatan,2020,291,110098,379
56,Sumatera Selatan,2021,291,110567,379
57,Kepulauan Bangka Belitung,2014,26,5850,225
58,Kepulauan Bangka Belitung,2015,19,4256,224
59,Kepulauan Bangka Belitung,2016,16,3077,192
60,Kepulauan Bangka Belitung,2017,0,0,0
61,Kepulauan Bangka Belitung,2018,18,3189,177
62,Kepulauan Bangka Belitung,2019,18,5027,279
63,Kepulauan Bangka Belitung,2020,19,5180,280
64,Kepulauan Bangka Belitung,2021,19,5365,289
65,Bengkulu,2014,1167,318065,273
66,Bengkulu,2015,1327,360944,272
67,Bengkulu,2016,1410,400884,284
68,Bengkulu,2017,1347,257020,191
69,Bengkulu,2018,1380,354557,257
70,Bengkulu,2019,1411,337221,239
71,Bengkulu,2020,1411,337375,239
72,Bengkulu,2021,1412,338030,239
73,Lampung,2014,7689,1810503,235
74,Lampung,2015,7746,2571672,332
75,Lampung,2016,7872,2830382,360
76,Lampung,2017,7871,2910715,370
77,Lampung,2018,8592,3499745,407
78,Lampung,2019,9069,3773862,416
79,Lampung,2020,8938,3682571,412
80,Lampung,2021,8938,3601773,403
81,DKI Jakarta,2014,0,0,0
82,DKI Jakarta,2015,0,0,0
83,DKI Jakarta,2016,0,0,0
84,DKI Jakarta,2017,0,0,0
85,DKI Jakarta,2018,0,0,0
86,DKI Jakarta,2019,0,0,0
87,DKI Jakarta,2020,0,0,0
88,DKI Jakarta,2021,0,0,0
89,Jawa Barat,2014,33650,12394779,368
90,Jawa Barat,2015,33769,12629606,374
91,Jawa Barat,2016,34440,12584043,365
92,Jawa Barat,2017,35112,12288418,350
93,Jawa Barat,2018,36568,15132450,414
94,Jawa Barat,2019,35827,16291697,455
95,Jawa Barat,2020,35896,15696203,437
96,Jawa Barat,2021,35897,16061020,447
97,Banten,2014,12874,6655510,517
98,Banten,2015,12957,5506725,425
99,Banten,2016,12739,5245543,412
100,Banten,2017,12795,8216178,642
101,Banten,2018,12814,6991516,546
102,Banten,2019,12853,6851022,533
103,Banten,2020,12823,6558750,511
104,Banten,2021,12814,6374301,497
105,Jawa Tengah,2014,42139,11996764,285
106,Jawa Tengah,2015,42348,11222220,265
107,Jawa Tengah,2016,42281,11096883,262
108,Jawa Tengah,2017,42047,9215268,219
109,Jawa Tengah,2018,41294,13509491,327
110,Jawa Tengah,2019,40640,12404406,305
111,Jawa Tengah,2020,40920,12438938,304
112,Jawa Tengah,2021,41120,12498291,304
113,DI. Yogyakarta,2014,3215,1037372,323
114,DI. Yogyakarta,2015,3150,872550,277
115,DI. Yogyakarta,2016,3058,826502,270
116,DI. Yogyakarta,2017,3054,818113,268
117,DI. Yogyakarta,2018,3054,818922,268
118,DI. Yogyakarta,2019,3129,1119753,358
119,DI. Yogyakarta,2020,3051,1254375,411
120,DI. Yogyakarta,2021,3051,1284035,421
121,Jawa Timur,2014,45085,18299464,406
122,Jawa Timur,2015,45474,17825808,392
123,Jawa Timur,2016,45902,18851105,411
124,Jawa Timur,2017,45824,18484904,403
125,Jawa Timur,2018,44442,18847705,424
126,Jawa Timur,2019,43343,18896740,436
127,Jawa Timur,2020,43136,18639346,432
128,Jawa Timur,2021,43136,18657346,433
129,Bali,2014,15297,3103502,203
130,Bali,2015,15404,4790644,311
131,Bali,2016,15437,4667285,302
132,Bali,2017,15443,822596,53
133,Bali,2018,15659,4076037,260
134,Bali,2019,15613,3964967,254
135,Bali,2020,15611,3981250,255
136,Bali,2021,15612,4008515,257
137,Nusa Tenggara Barat,2014,2646,420555,159
138,Nusa Tenggara Barat,2015,2603,335787,129
139,Nusa Tenggara Barat,2016,2874,479010,167
140,Nusa Tenggara Barat,2017,2753,539134,196
141,Nusa Tenggara Barat,2018,2741,568614,207
142,Nusa Tenggara Barat,2019,2978,521463,175
143,Nusa Tenggara Barat,2020,2991,595731,199
144,Nusa Tenggara Barat,2021,2990,604788,202
145,Nusa Tenggara Timur,2014,14400,5435717,377
146,Nusa Tenggara Timur,2015,14604,6308928,432
147,Nusa Tenggara Timur,2016,15605,6868017,440
148,Nusa Tenggara Timur,2017,16689,7439096,446
149,Nusa Tenggara Timur,2018,17814,8564743,481
150,Nusa Tenggara Timur,2019,18226,8630623,474
151,Nusa Tenggara Timur,2020,18226,8635451,474
152,Nusa Tenggara Timur,2021,18226,8638757,474
153,Kalimantan Barat,2014,835,302420,362
154,Kalimantan Barat,2015,890,369350,415
155,Kalimantan Barat,2016,887,369583,417
156,Kalimantan Barat,2017,887,370587,418
157,Kalimantan Barat,2018,882,388564,441
158,Kalimantan Barat,2019,882,388404,440
159,Kalimantan Barat,2020,865,384132,444
160,Kalimantan Barat,2021,865,379854,439
161,Kalimantan Tengah,2014,5,648,118
162,Kalimantan Tengah,2015,5,0,0
163,Kalimantan Tengah,2016,0,0,0
164,Kalimantan Tengah,2017,0,0,0
165,Kalimantan Tengah,2018,0,0,0
166,Kalimantan Tengah,2019,0,0,0
167,Kalimantan Tengah,2020,0,0,0
168,Kalimantan Tengah,2021,0,0,0
169,Kalimantan Selatan,2014,502,212858,424
170,Kalimantan Selatan,2015,405,111780,276
171,Kalimantan Selatan,2016,389,104466,269
172,Kalimantan Selatan,2017,486,189368,390
173,Kalimantan Selatan,2018,481,188730,392
174,Kalimantan Selatan,2019,452,194460,430
175,Kalimantan Selatan,2020,451,186455,413
176,Kalimantan Selatan,2021,448,209067,467
177,Kalimantan Timur,2014,3,0,0
178,Kalimantan Timur,2015,0,0,0
179,Kalimantan Timur,2016,2,0,0
180,Kalimantan Timur,2017,2,0,0
181,Kalimantan Timur,2018,2,0,0
182,Kalimantan Timur,2019,2,0,0
183,Kalimantan Timur,2020,2,0,0
184,Kalimantan Timur,2021,2,0,0
185,Kalimantan Utara,2014,0,0,0
186,Kalimantan Utara,2015,0,0,0
187,Kalimantan Utara,2016,0,0,0
188,Kalimantan Utara,2017,0,0,0
189,Kalimantan Utara,2018,0,0,0
190,Kalimantan Utara,2019,167,70245,420
191,Kalimantan Utara,2020,168,120,1
192,Kalimantan Utara,2021,169,68242,405
193,Sulawesi Utara,2014,74900,12878027,172
194,Sulawesi Utara,2015,74825,34269850,458
195,Sulawesi Utara,2016,70749,25153294,356
196,Sulawesi Utara,2017,74936,7611086,102
197,Sulawesi Utara,2018,75665,7819892,103
198,Sulawesi Utara,2019,75287,14881448,198
199,Sulawesi Utara,2020,75218,12906107,172
200,Sulawesi Utara,2021,75189,12920507,172
201,Gorontalo,2014,9408,2706848,288
202,Gorontalo,2015,9091,2263659,249
203,Gorontalo,2016,10350,2577975,249
204,Gorontalo,2017,11371,3467425,305
205,Gorontalo,2018,12589,4425498,352
206,Gorontalo,2019,12887,4998827,388
207,Gorontalo,2020,12887,5000610,388
208,Gorontalo,2021,12887,5018516,389
209,Sulawesi Tengah,2014,56554,23955870,424
210,Sulawesi Tengah,2015,67545,25802190,382
211,Sulawesi Tengah,2016,68163,25054375,368
212,Sulawesi Tengah,2017,71691,8031832,112
213,Sulawesi Tengah,2018,74676,24113154,323
214,Sulawesi Tengah,2019,76049,28216781,371
215,Sulawesi Tengah,2020,76049,28209083,371
216,Sulawesi Tengah,2021,76049,28341383,373
217,Sulawesi Selatan,2014,53188,30085626,566
218,Sulawesi Selatan,2015,56075,31626300,564
219,Sulawesi Selatan,2016,61794,35056962,567
220,Sulawesi Selatan,2017,63125,32631020,517
221,Sulawesi Selatan,2018,63074,35548929,564
222,Sulawesi Selatan,2019,64651,35635093,551
223,Sulawesi Selatan,2020,65558,34583396,528
224,Sulawesi Selatan,2021,65558,34518246,527
225,Sulawesi Barat,2014,2766,1314150,475
226,Sulawesi Barat,2015,2596,1435588,553
227,Sulawesi Barat,2016,2770,1875077,677
228,Sulawesi Barat,2017,3239,2514496,776
229,Sulawesi Barat,2018,3412,2509105,735
230,Sulawesi Barat,2019,3752,2666554,711
231,Sulawesi Barat,2020,3795,2711040,714
232,Sulawesi Barat,2021,3795,2703824,712
233,Sulawesi Tenggara,2014,21071,11258092,534
234,Sulawesi Tenggara,2015,29427,19127550,650
235,Sulawesi Tenggara,2016,30038,19554985,651
236,Sulawesi Tenggara,2017,31383,18140373,578
237,Sulawesi Tenggara,2018,31588,18937664,600
238,Sulawesi Tenggara,2019,32306,19353027,599
239,Sulawesi Tenggara,2020,32338,19888216,615
240,Sulawesi Tenggara,2021,32371,19914070,615
241,Maluku,2014,44643,28891437,647
242,Maluku,2015,43772,28977064,662
243,Maluku,2016,43780,28822727,658
244,Maluku,2017,44156,28455792,644
245,Maluku,2018,44435,27493356,619
246,Maluku,2019,44452,28109988,632
247,Maluku,2020,44714,27969705,626
248,Maluku,2021,44714,27908796,624
249,Maluku Utara,2014,18201,6120138,336
250,Maluku Utara,2015,20732,6862292,331
251,Maluku Utara,2016,20764,7094935,342
252,Maluku Utara,2017,20870,7733650,371
253,Maluku Utara,2018,23170,8577370,370
254,Maluku Utara,2019,24250,8732486,360
255,Maluku Utara,2020,24250,10568069,436
256,Maluku Utara,2021,24450,10655229,436
257,Papua,2014,575,57500,100
258,Papua,2015,576,57600,100
259,Papua,2016,30,0,0
260,Papua,2017,323,92567,287
261,Papua,2018,323,92567,287
262,Papua,2019,323,92567,287
263,Papua,2020,323,92567,287
264,Papua,2021,323,92567,287
265,Papua Barat,2014,648,104445,161
266,Papua Barat,2015,634,101440,160
267,Papua Barat,2016,618,105984,171
268,Papua Barat,2017,552,93115,169
269,Papua Barat,2018,582,98176,169
270,Papua Barat,2019,580,108554,187
271,Papua Barat,2020,590,109535,186
272,Papua Barat,2021,509,94411,186
